sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1248pool12	70	37	1	8	33	0	155
BdM1246pool27	209750	47	441	8	9	76	680747
BdM1249pool12	35	5053	5	10	75	4	11359
BdM1251pool12	346	147487	102	43	1335	127	331383
BdM1254pool12	68	4571	3	0	3	11	6073
BdM1249pool29	2009	185957	96	24	606	82	702559
BdM1250pool12	69	17271	4	8	184	16	38703
BdM1252pool29	3134	121621	114	41	401	102	456245
BdM1219pool24	1287	1305	14	153822	1233	21	324692
BdM1255pool12	50	4125	7	2	28	5	9604
BdM1252pool12	100	28278	28	20	289	42	68234
BdM1248pool29	335031	338544	0	2	18	19	40463
BdM1247pool05	392146	10	12	84	12	309	456695
BdM1250pool29	4362	227085	126	74	1121	50	835844
BdM1254pool19	1551	28886	357	6	21	616	314025
BdM1253pool12	5023	196887	19	2	260	91	295720
BdM1233pool18	502394	445919	3	20	17	4358	1052557
BdM1255pool29	1879	103684	113	7	420	34	380439
BdM1257pool12	648	244217	144	23	2045	71	516413
BdM1259pool12	395	165481	100	49	1384	98	345407
BdM1247pool27	253488	17832	18	56	11	125	292804
BdM1261pool12	244	87014	37	23	849	40	196831
BdM1265pool12	2481	16102	3	0	0	0	4076
BdM1256pool12	346	140649	81	33	1539	101	306612
BdM1260pool12	1136	386379	188	68	2809	155	822864
BdM1263pool12	399	270531	159	48	2125	123	592445
BdM1272pool12	39	39499	52	0	336	15	86782
BdM1267pool12	275	69563	61	5	576	5	156563
BdM1265pool19	42566	213079	2691	1	23	58	179098
BdM1268pool11	0	1	0	154	6	0	388
BdM1266pool12	47	42189	26	5	374	9	96922
BdM1269pool11	8	16	5	17336	228	17	38135
BdM1270pool11	149	52	4	83283	1056	139	178219
BdM1266pool29	1100	66006	84	0	350	12	283400
BdM1269pool24	137	146	14	139341	1817	29	341383
BdM1272pool29	720	39100	38	4	386	16	163355
BdM1325pool22	6622	6614	16	56	51	321	541930
BdM1274pool12	201388	207523	1	0	49	16	20182
BdM1403pool22	4502	4425	21	130	151	4539	200271
BdM1471pool22	6799	6488	160	370	518	4493	748878
BdM1156pool08	110	45	70080	45	7	29	137983
BdM1775pool32	190	162	347851	117	10	1585	1227212
BdM1256pool29	101692	136252	106	4	131	43	161572
BdM1214pool11	389	103	118	109116	1134	127	353909
BdM1801pool34	193375	18	8	17	0	378	303787
