sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1799pool34	12083	1	0	0	0	2	2678
BdM1137pool08	0	1	1	0	0	0	125
BdM1234pool05	277	6	0	1	0	1	5478
BdM1246pool27	2195	1	6	0	1	1	2176
BdM1776pool32	3	5	14919	5	2	1	29491
BdM1232pool05	7825	12	0	5	1	1	1950
BdM1066pool14	2	0	0	10	1431	1	1465
BdM1150pool08	1	1	1554	0	0	1	1250
BdM1150pool28	2	1	4403	2	0	0	5188
BdM1194pool05	0	0	0	0	0	1	48
BdM1229pool11	3	1	0	1207	6	1	1292
BdM1198pool05	2	0	0	0	2	2	1215
BdM1147pool28	0	0	192	0	0	0	591
BdM1067pool14	1	0	0	5	382	1	540
BdM1241pool05	8582	14	0	6	1	1	2129
BdM1403pool22	2	1	0	5	9	3	4337
BdM1154pool28	1	1	6209	0	0	1	5442
BdM1795pool34	17340	1	0	0	0	3	5291
BdM1260pool12	19	15356	4	4	3	2	6215
BdM1035pool27	7660	0	1	0	1	6	4620
BdM1750pool32	3	3	8317	7	5	1	13686
BdM1197pool05	5	1	0	0	1	1	2654
BdM1254pool19	15	88	2	0	0	18	2832
BdM1050pool24	7	0	1	0	4	0	101
BdM1249pool29	6	5484	5	1	2	1	5777
BdM1269pool11	0	1	0	545	5	1	722
BdM1229pool24	11	1	2	2539	19	2	3152
BdM1028pool27	9570	0	1	0	0	3	2119
BdM1136pool28	0	0	7161	0	0	1	4886
BdM1051pool14	919	2	1	27	2400	1	7864
BdM1044pool13	6462	0	1	0	47	1	3324
BdM1272pool12	1	1254	2	0	1	1	839
BdM1221pool21	4	5	0	8590	69	3	9321
BdM1258pool12	6	15484	5	2	3	2	6591
BdM1075pool24	85	0	0	40	3046	1	4355
BdM1245pool05	11882	6	0	8	0	1	3409
BdM1148pool08	0	0	111	0	0	0	283
BdM1231pool05	6028	12	0	3	0	1	1637
BdM1228pool11	8	0	0	3019	21	2	2388
BdM1068pool24	1	0	0	9	605	0	994
BdM1031pool13	6646	1	1	0	0	2	3636
BdM1028pool13	6050	0	0	0	0	1	2356
BdM1216pool24	9	3	0	7400	52	1	6049
BdM1128pool08	1	4	11811	7	1	2	6296
BdM1139pool08	0	0	1	0	0	0	1
BdM1224pool11	6	2	0	5007	47	3	5397
BdM1151pool08	0	0	1138	1	0	1	1050
BdM1222pool11	0	0	0	224	2	1	509
BdM1140pool28	0	2	10580	2	1	1	7708
BdM1263pool12	4	13154	5	2	2	2	4900
BdM1151pool28	3	1	11990	3	0	2	8161
BdM1255pool29	6	3922	4	0	1	2	3554
BdM1136pool08	0	0	0	0	0	0	1
BdM1272pool29	3	986	1	0	2	1	1339
BdM1056pool14	2	0	0	45	6654	1	6724
BdM1250pool29	7	7074	5	2	0	2	6962
BdM1064pool14	0	0	0	13	1293	1	1401
BdM1026pool13	6831	0	1	0	1	1	2781
BdM1217pool11	10	3	4	11961	137	2	24183
BdM1471pool22	8	1	1	10	13	26	9473
BdM1034pool13	8557	0	0	0	0	1	4385
BdM1244pool05	13918	11	0	1	1	1	4593
BdM1265pool12	0	0	0	0	0	0	26
BdM1800pool34	20623	2	0	0	0	1	11640
BdM1016pool13	13039	2	1	6	0	1	7183
BdM1254pool12	3	4	0	0	0	0	107
BdM1045pool13	11015	0	1	0	0	1	5919
BdM1247pool27	9604	0	1	2	1	3	4218
BdM1238pool05	9824	0	0	1	0	1	4217
BdM1146pool28	1	0	13633	2	0	2	9452
BdM1152pool08	2	2	5737	0	0	1	4890
BdM1158pool08	0	0	2650	0	0	2	1744
BdM1246pool05	5834	0	0	0	0	1	1695
BdM1156pool08	2	0	3278	0	0	1	2008
BdM1139pool28	2	0	9525	1	0	0	7530
BdM1146pool08	0	1	1041	1	0	1	886
BdM1220pool11	0	1	0	10	0	0	114
BdM1256pool29	1	829	1	0	0	2	1064
