sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1797pool34	13115	0	0	0	0	0	4
BdM1148pool28	0	0	3650	0	0	0	334
BdM1257pool12	6	12315	2	0	0	0	3
BdM1144pool28	0	1	11204	2	0	0	1389
BdM1230pool24	3	1	1	7544	32	0	246
BdM1073pool14	1	1	0	56	10844	0	6
BdM1236pool05	14633	15	0	3	0	0	6
BdM1075pool14	2	0	0	26	4301	0	1
BdM1251pool12	1	8250	2	0	2	0	2
BdM1066pool24	3	1	0	21	2240	0	127
BdM1033pool13	2200	0	0	0	0	0	3
BdM1254pool19	5	105	1	0	0	0	125
BdM1226pool11	1	0	0	101	2	0	4
BdM1035pool13	4000	0	0	0	0	0	5
BdM1243pool05	12498	11	0	3	1	0	2
BdM1223pool11	3	0	0	3362	13	0	5
BdM1267pool12	4	3324	2	0	1	0	0
BdM1223pool24	8	2	0	11448	53	0	374
BdM1041pool13	10968	4	1	5	1	0	4
BdM1252pool29	5	4637	1	0	2	0	418
BdM1048pool13	14293	1	0	0	2	0	6
BdM1272pool29	1	1016	0	0	0	0	119
BdM1275pool12	0	16543	5	0	0	0	1
BdM1228pool11	4	3	0	3122	17	0	3
BdM1161pool08	0	2	13437	2	0	0	11
BdM1253pool12	5	917	0	0	0	0	60
BdM1129pool08	0	1	12937	0	1	0	17
BdM1218pool11	4	3	1	7372	25	0	11
BdM1149pool28	1	1	10944	0	0	0	1362
BdM1045pool13	11407	0	0	0	0	0	7
BdM1034pool13	8837	0	0	0	0	0	3
BdM1152pool08	1	1	6133	0	0	0	484
BdM1131pool08	0	0	2566	0	0	0	3
BdM1221pool11	1	0	0	1293	7	0	50
BdM1219pool11	0	0	0	1225	5	0	1
BdM1248pool12	1	0	0	0	0	0	0
BdM1268pool11	0	0	0	1	0	0	0
BdM1246pool05	6016	0	0	0	1	0	3
BdM1163pool08	1	1	13107	1	0	0	9
BdM1231pool05	6151	13	0	3	1	0	2
BdM1029pool13	4464	0	0	0	0	0	5
BdM1211pool11	0	0	0	4538	17	0	4
BdM1241pool27	2296	5	0	6	1	0	13
BdM1064pool14	0	0	0	10	1352	0	1
BdM1069pool24	0	0	1	13	1558	0	111
BdM1067pool14	0	1	0	3	395	0	0
BdM1213pool11	3	1	0	1759	8	0	3
BdM1043pool27	7413	0	1	0	0	0	12
BdM1233pool18	2110	7	0	0	1	0	19
BdM1044pool13	6631	0	1	0	1	0	6
BdM1143pool08	0	0	149	0	0	0	2
BdM1162pool28	0	0	12603	1	0	0	993
BdM1064pool24	0	0	0	9	1077	0	69
BdM1222pool24	1	1	1	9265	40	0	362
BdM1249pool29	1	5672	3	0	1	0	451
BdM1266pool29	1	1831	2	0	0	0	232
BdM1799pool34	12209	0	1	0	0	0	6
